Year,Player,Salary
2023,Player,2023/24
2023,Stephen Curry,"$51,915,615"
2023,Kevin Durant,"$47,649,433"
2023,Nikola Jokic,"$47,607,350"
2023,LeBron James,"$47,607,350"
2023,Joel Embiid,"$47,607,350"
2023,Bradley Beal,"$46,741,590"
2023,Paul George,"$45,640,084"
2023,Kawhi Leonard,"$45,640,084"
2023,Giannis Antetokounmpo,"$45,640,084"
2023,Damian Lillard,"$45,640,084"
2023,Jimmy Butler,"$45,183,960"
2023,Klay Thompson,"$43,219,440"
2023,Rudy Gobert,"$41,000,000"
2023,Fred VanVleet,"$40,806,300"
2023,Anthony Davis,"$40,600,080"
2023,Trae Young,"$40,064,220"
2023,Zach LaVine,"$40,064,220"
2023,Luka Doncic,"$40,064,220"
2023,Tobias Harris,"$39,270,150"
2023,Ben Simmons,"$37,893,408"
2023,Pascal Siakam,"$37,893,408"
2023,Kyrie Irving,"$37,037,037"
2023,Jrue Holiday,"$36,861,707"
2023,Karl-Anthony Towns,"$36,016,200"
2023,Devin Booker,"$36,016,200"
2023,Kristaps Porzingis,"$36,016,200"
2023,CJ McCollum,"$35,802,469"
2023,James Harden,"$35,640,000"
2023,Darius Garland,"$34,005,250"
2023,Ja Morant,"$34,005,250"
2023,Zion Williamson,"$34,005,250"
2023,Jamal Murray,"$33,833,400"
2023,Brandon Ingram,"$33,833,400"
2023,Michael Porter,"$33,386,850"
2023,Shai Gilgeous-Alexander,"$33,386,850"
2023,Donovan Mitchell,"$33,162,030"
2023,Jayson Tatum,"$32,600,060"
2023,Bam Adebayo,"$32,600,060"
2023,De'Aaron Fox,"$32,600,060"
2023,Deandre Ayton,"$32,459,438"
2023,Jaylen Brown,"$31,830,357"
2023,Gordon Hayward,"$31,500,000"
2023,Chris Paul,"$30,800,000"
2023,Domantas Sabonis,"$30,600,000"
2023,Kyle Lowry,"$29,682,540"
2023,Khris Middleton,"$29,320,988"
2023,DeMar DeRozan,"$28,600,000"
2023,Julius Randle,"$28,226,880"
2023,Jordan Poole,"$27,955,357"
2023,Jerami Grant,"$27,586,207"
2023,Jaren Jackson Jr,"$27,102,202"
2023,Tyler Herro,"$27,000,000"
2023,Jalen Brunson,"$26,346,666"
2023,Cameron Johnson,"$25,679,348"
2023,Kyle Kuzma,"$25,568,182"
2023,John Collins,"$25,340,000"
2023,Brook Lopez,"$25,000,000"
2023,Mike Conley,"$24,360,000"
2023,Andrew Wiggins,"$24,330,357"
2023,Anfernee Simons,"$24,107,143"
2023,RJ Barrett,"$23,883,929"
2023,Jordan Clarkson,"$23,487,629"
2023,Terry Rozier,"$23,205,221"
2023,Dillon Brooks,"$22,627,671"
2023,Malcolm Brogdon,"$22,500,000"
2023,Draymond Green,"$22,321,429"
2023,Aaron Gordon,"$22,266,182"
2023,Bruce Brown,"$22,000,000"
2023,Mikal Bridges,"$21,700,000"
2023,Myles Turner,"$20,975,000"
2023,Clint Capela,"$20,616,000"
2023,Lonzo Ball,"$20,465,117"
2023,Spencer Dinwiddie,"$20,357,143"
2023,De'Andre Hunter,"$20,089,286"
2023,Jarrett Allen,"$20,000,000"
2023,Bojan Bogdanovic,"$20,000,000"
2023,Keldon Johnson,"$20,000,000"
2023,Joe Harris,"$19,928,571"
2023,Jakob Poeltl,"$19,500,000"
2023,Buddy Hield,"$19,279,841"
2023,Evan Fournier,"$18,857,143"
2023,Bogdan Bogdanovic,"$18,700,000"
2023,OG Anunoby,"$18,642,857"
2023,Marcus Smart,"$18,583,713"
2023,Gary Trent Jr,"$18,560,000"
2023,Nikola Vucevic,"$18,518,519"
2023,Derrick White,"$18,357,143"
2023,Dejounte Murray,"$18,214,000"
2023,Duncan Robinson,"$18,154,000"
2023,Norman Powell,"$18,000,000"
2023,Tim Hardaway Jr,"$17,897,728"
2023,Jonathan Isaac,"$17,400,000"
