player_id,player_firstname,player_lastname,pos,fga,defReb,fgm,tpm,totReb,offReb,turnovers,fta,pFouls,assists,points,game_id,steals,team_id,plusMinus,ftm,tpa,blocks
1,Alex,Abrines,G,46.0,6.0,22.0,16.0,7.0,1.0,1.0,2.0,23.0,3.0,62.0,14582,1.0,150,18.0,2.0,33.0,0.0
2,Quincy,Acy,C,14.0,8.0,10.0,4.0,8.0,0.0,2.0,0.0,2.0,2.0,24.0,5004,2.0,8,-24.0,0.0,4.0,0.0
2,Quincy,Acy,F,14.0,16.0,8.0,4.0,16.0,0.0,2.0,2.0,16.0,6.0,22.0,5726,4.0,32,48.0,2.0,10.0,0.0
4,Steven,Adams,C,715.0,361.0,411.0,0.0,668.0,307.0,153.0,276.0,211.0,95.0,989.0,189710,98.0,2200,242.0,167.0,1.0,91.0
5,Arron,Afflalo,F,126.0,36.0,57.0,14.0,37.0,1.0,11.0,31.0,27.0,25.0,156.0,41965,6.0,510,-133.0,28.0,36.0,1.0
5,Arron,Afflalo,G,235.0,68.0,102.0,35.0,74.0,6.0,21.0,51.0,62.0,39.0,284.0,58150,13.0,960,-17.0,45.0,89.0,4.0
6,Alexis,Ajinca,C,93.0,70.0,47.0,0.0,86.0,16.0,19.0,19.0,30.0,8.0,107.0,30296,9.0,345,-89.0,13.0,2.0,8.0
6,Alexis,Ajinca,F,11.0,9.0,5.0,0.0,13.0,4.0,4.0,10.0,8.0,0.0,17.0,4727,4.0,46,7.0,7.0,0.0,2.0
7,Cole,Aldrich,C,5.0,4.0,4.0,0.0,6.0,2.0,3.0,2.0,3.0,0.0,10.0,1501,1.0,22,-5.0,2.0,0.0,3.0
8,LaMarcus,Aldridge,C,28.0,8.0,11.0,1.0,12.0,4.0,1.0,4.0,4.0,4.0,26.0,5666,0.0,62,-45.0,3.0,2.0,2.0
8,LaMarcus,Aldridge,F,1308.0,438.0,621.0,24.0,655.0,217.0,127.0,326.0,200.0,161.0,1529.0,199153,60.0,2790,297.0,263.0,69.0,104.0
10,Lavoy,Allen,F,34.0,15.0,19.0,0.0,32.0,17.0,7.0,6.0,8.0,7.0,40.0,11569,4.0,75,-10.0,2.0,0.0,3.0
11,Tony,Allen,F,130.0,51.0,65.0,1.0,90.0,39.0,23.0,37.0,30.0,15.0,156.0,23934,23.0,247,14.0,25.0,9.0,8.0
11,Tony,Allen,G,433.0,168.0,194.0,14.0,284.0,116.0,72.0,88.0,136.0,75.0,454.0,118828,85.0,1007,21.0,52.0,44.0,20.0
12,Al-Farouq,Aminu,F,244.0,173.0,92.0,34.0,211.0,38.0,44.0,55.0,51.0,61.0,256.0,59254,30.0,928,-28.0,38.0,117.0,19.0
14,Chris,Andersen,C,3.0,6.0,2.0,0.0,7.0,1.0,1.0,6.0,2.0,6.0,10.0,2903,0.0,14,28.0,6.0,0.0,1.0
15,Alan,Anderson,F,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1469,0.0,16,-11.0,0.0,1.0,0.0
17,Justin,Anderson,F,142.0,36.0,68.0,24.0,58.0,22.0,20.0,58.0,32.0,34.0,204.0,46400,16.0,448,-74.0,44.0,68.0,4.0
17,Justin,Anderson,G,52.0,20.0,20.0,6.0,26.0,6.0,0.0,20.0,10.0,20.0,60.0,6148,2.0,32,-22.0,14.0,20.0,0.0
18,Kyle,Anderson,F,63.0,48.0,27.0,2.0,60.0,12.0,5.0,14.0,13.0,32.0,66.0,19457,8.0,279,73.0,10.0,9.0,9.0
